review_id,text,rating
145,Best purchase I've made this year,4.0
29,Fast shipping and great quality,5.0
271,Would not buy this again,1.0
148,,2.0
3,"Five stars, no complaints at all",5.0
37,Best purchase I've made this year,4.0
30,,
153,  Arrived damaged and customer service was unhelpful   ,2.0
186,,3.0
6,It does the job,3.0
38,Would not buy this again,1.0
26,"Five stars, no complaints at all",5.0
33,Middle of the road experience,3.0
257,This changed my daily routine for the better,
116,Best purchase I've made this year,5.0
157,WOULD NOT BUY THIS AGAIN,1.0
203,Amazing value for the price,4.0
106,Stopped working after two days,1.0
187,Very disappointed with this purchase,2.0
103,Terrible quality broke fast,2.0
274,Works exactly as described,4.0
284,Fast shipping and great quality,5.0
189,Great product love it,4.0
286,Okay product for casual use,3.0
300,,3.0
144,Terrible quality broke fast,1.0
42,Arrived damaged and customer service was unhelpful,1.0
11,Not bad but not great either,3.0
180,EXCEEDED MY EXPECTATIONS,5.0
8,Item did not match the description,
149,Arrived damaged and customer service was unhelpful,1.0
75,"Cheaply made, would not recommend",1.0
210,Terrible quality broke fast,1.0
217,Okay product for casual use,3.0
254,Really happy with this purchase,4.0
66,"Cheaply made, would not recommend",1.0
249,Exceeded my expectations,4.0
36,Great product love it,4.0
160,"Waste of money, returning it",2.0
291,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0
121,Middle of the road experience,3.0
171,Works exactly as described,5.0
294,Best purchase I've made this year,5.0
220,Middle of the road experience,3.0
193,Not bad but not great either,3.0
204,It does the job,3.0
302,  Average nothing special   ,3.0
260,Middle of the road experience,
80,"Five stars, no complaints at all",5.0
192,Amazing value for the price,5.0
136,Best purchase I've made this year,5.0
287,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0
120,Not worth the money,1.0
105,"Works fine, nothing to write home about",3.0
139,It does the job,3.0
301,Best purchase I've made this year,5.0
142,Works exactly as described,5.0
16,FAST SHIPPING AND GREAT QUALITY,5.0
128,,
87,Amazing value for the price,5.0
172,Decent for the price,3.0
61,Works exactly as described,5.0
98,Best purchase I've made this year,5.0
28,,2.0
18,Arrived damaged and customer service was unhelpful,1.0
151,Amazing value for the price,4.0
263,Fast shipping and great quality,4.0
68,"Five stars, no complaints at all",5.0
225,Stopped working after two days,1.0
242,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",
267,,5.0
247,Middle of the road experience,3.0
168,,4.0
5,Exceeded my expectations,5.0
132,Stopped working after two days,1.0
255,Works exactly as described,
273,"  Five stars, no complaints at all   ",4.0
269,Not worth the money,1.0
197,Works exactly as described,5.0
54,Fast shipping and great quality,4.0
309,Works exactly as described,5.0
10,Best purchase I've made this year,5.0
79,,3.0
280,Would not buy this again,1.0
41,Fast shipping and great quality,5.0
32,Very disappointed with this purchase,1.0
229,Great product love it,4.0
9,It does the job,3.0
76,Terrible quality broke fast,1.0
252,,5.0
133,Not worth the money,1.0
159,Very disappointed with this purchase,1.0
97,Poor packaging led to damage,1.0
266,Exceeded my expectations,4.0
55,  Fast shipping and great quality   ,5.0
126,"Waste of money, returning it",1.0
251,Great product love it,4.0
276,,1.0
73,Amazing value for the price,5.0
166,Best purchase I've made this year,5.0
52,"Works fine, nothing to write home about",3.0
108,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0
60,Exceeded my expectations,4.0
86,Would not buy this again,1.0
279,Arrived damaged and customer service was unhelpful,1.0
182,Exceeded my expectations,5.0
200,Middle of the road experience,3.0
238,Stopped working after two days,1.0
232,"WASTE OF MONEY, RETURNING IT",1.0
199,"Works fine, nothing to write home about",3.0
296,Best purchase I've made this year,5.0
270,Would not buy this again,1.0
191,Item did not match the description,1.0
23,Middle of the road experience,3.0
223,WOULD NOT BUY THIS AGAIN,2.0
115,Great product love it,5.0
152,Would not buy this again,1.0
177,,1.0
188,Really happy with this purchase,5.0
74,,5.0
218,Arrived damaged and customer service was unhelpful,2.0
241,REALLY HAPPY WITH THIS PURCHASE,4.0
146,Stopped working after two days,2.0
51,This changed my daily routine for the better,4.0
256,  This changed my daily routine for the better   ,5.0
96,Not bad but not great either,3.0
99,BEST PURCHASE I'VE MADE THIS YEAR,
208,Really happy with this purchase,4.0
4,Item did not match the description,1.0
303,Very disappointed with this purchase,1.0
162,Really happy with this purchase,5.0
244,Great product love it,5.0
169,EXCEEDED MY EXPECTATIONS,5.0
50,"  Five stars, no complaints at all   ",4.0
137,Stopped working after two days,1.0
31,"Five stars, no complaints at all",
314,"Waste of money, returning it",1.0
195,Okay product for casual use,3.0
57,Fast shipping and great quality,5.0
202,Arrived damaged and customer service was unhelpful,1.0
150,THIS CHANGED MY DAILY ROUTINE FOR THE BETTER,5.0
22,Item did not match the description,1.0
184,Middle of the road experience,3.0
1,Terrible quality broke fast,2.0
53,Item did not match the description,1.0
127,Middle of the road experience,3.0
295,Stopped working after two days,1.0
45,Decent for the price,3.0
165,Average nothing special,3.0
95,Amazing value for the price,5.0
110,Works exactly as described,5.0
253,Not worth the money,2.0
59,,1.0
307,Works exactly as described,5.0
88,Very disappointed with this purchase,1.0
198,Very disappointed with this purchase,1.0
175,Works exactly as described,5.0
123,,5.0
