review_id,text,rating,date
193,Not bad but not great either,3.0,2026-04-18
194,Amazing value for the price,5.0,2026-07-05
195,Okay product for casual use,3.0,2026-04-30
196,Would definitely buy again,5.0,2026-07-08
197,Works exactly as described,3.0,2026-07-28
198,Very disappointed with this purchase,1.0,2026-03-25
199,"Works fine, nothing to write home about",3.0,2026-07-26
200,Middle of the road experience,3.0,2026-07-05
201,Best purchase I've made this year,3.0,2026-08-01
202,Arrived damaged and customer service was unhelpful,1.0,2026-08-02
203,Amazing value for the price,4.0,2026-05-21
204,It does the job,3.0,2026-05-08
205,"Five stars, no complaints at all",5.0,2026-07-08
206,Exceeded my expectations,4.0,2026-05-04
207,Okay product for casual use,3.0,2026-06-05
208,Really happy with this purchase,4.0,2026-07-12
209,Item did not match the description,2.0,2026-08-09
210,Terrible quality broke fast,1.0,2026-05-24
211,Very disappointed with this purchase,1.0,2026-03-31
212,Best purchase I've made this year,5.0,2026-05-27
213,THIS CHANGED MY DAILY ROUTINE FOR THE BETTER,4.0,2026-07-16
214,,1.0,2026-07-26
215,  Great product love it   ,5.0,2026-07-10
216,Decent for the price,3.0,2026-07-01
217,Okay product for casual use,3.0,2026-04-20
218,Arrived damaged and customer service was unhelpful,2.0,2026-07-20
219,Very disappointed with this purchase,1.0,2026-06-04
220,Middle of the road experience,3.0,2026-07-19
221,,4.0,2026-05-31
222,Middle of the road experience,3.0,2026-08-23
223,WOULD NOT BUY THIS AGAIN,2.0,2026-08-06
224,  Middle of the road experience   ,3.0,2026-04-14
225,Stopped working after two days,1.0,2026-05-25
226,Would not buy this again,1.0,2026-04-15
227,Works exactly as described,5.0,2026-05-24
228,Fast shipping and great quality,5.0,2026-08-20
229,Great product love it,4.0,2026-06-14
230,Amazing value for the price,5.0,2026-06-23
231,Would not buy this again,,2026-07-16
232,"WASTE OF MONEY, RETURNING IT",1.0,2026-07-30
233,Not bad but not great either,3.0,2026-04-25
234,Average nothing special,3.0,2026-07-04
235,Exceeded my expectations,4.0,2026-05-13
236,This changed my daily routine for the better,5.0,2026-07-03
237,Really happy with this purchase,5.0,2026-04-28
238,Stopped working after two days,1.0,2026-08-13
239,  Not bad but not great either   ,1.0,2026-08-03
240,Works exactly as described,5.0,2026-03-28
241,REALLY HAPPY WITH THIS PURCHASE,4.0,2026-07-26
242,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",,2026-08-22
243,,1.0,2026-08-08
244,Great product love it,5.0,2026-06-01
245,Stopped working after two days,1.0,2026-07-07
246,"Five stars, no complaints at all",3.0,2026-08-19
247,Middle of the road experience,3.0,2026-08-14
248,Poor packaging led to damage,1.0,2026-08-12
249,Exceeded my expectations,4.0,2026-07-18
250,Exceeded my expectations,5.0,2026-06-15
251,Great product love it,4.0,2026-06-06
252,,5.0,2026-06-23
253,Not worth the money,1.0,2026-08-05
254,Really happy with this purchase,2.0,2026-08-15
255,Works exactly as described,,2026-07-12
256,  This changed my daily routine for the better   ,5.0,2026-06-10
257,This changed my daily routine for the better,,2026-07-23
258,Very disappointed with this purchase,1.0,2026-06-17
259,Exceeded my expectations,5.0,2026-07-18
260,Middle of the road experience,,2026-07-15
261,Item did not match the description,1.0,2026-04-04
262,Would not buy this again,1.0,2026-03-09
263,Fast shipping and great quality,4.0,2026-06-14
264,"Cheaply made, would not recommend",1.0,2026-05-16
265,Poor packaging led to damage,1.0,2026-06-23
266,Exceeded my expectations,4.0,2026-06-02
267,,5.0,2026-06-18
268,Really happy with this purchase,4.0,2026-06-27
269,Not worth the money,1.0,2026-05-15
270,Would not buy this again,1.0,2026-06-13
271,Would not buy this again,1.0,2026-07-29
272,Amazing value for the price,5.0,2026-06-06
273,"  Five stars, no complaints at all   ",4.0,2026-07-01
274,Works exactly as described,4.0,2026-06-17
275,Poor packaging led to damage,1.0,2026-07-02
276,,1.0,2026-05-10
277,Amazing value for the price,5.0,2026-04-25
278,Middle of the road experience,3.0,2026-07-29
279,Arrived damaged and customer service was unhelpful,1.0,2026-08-24
280,Would not buy this again,1.0,2026-08-19
281,FAST SHIPPING AND GREAT QUALITY,5.0,2026-05-19
282,Fast shipping and great quality,2.0,2026-08-06
283,Would not buy this again,2.0,2026-06-20
284,Fast shipping and great quality,5.0,2026-08-19
285,Really happy with this purchase,,2026-08-16
286,Okay product for casual use,3.0,2026-06-10
287,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0,2026-03-09
288,Terrible quality broke fast,1.0,2026-05-21
289,Not bad but not great either,1.0,2026-08-18
290,Works exactly as described,5.0,2026-04-19
291,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",1.0,2026-07-29
292,Arrived damaged and customer service was unhelpful,1.0,2026-04-11
293,Would not buy this again,2.0,2026-07-27
294,Best purchase I've made this year,3.0,2026-08-03
295,Stopped working after two days,1.0,2026-07-19
296,Best purchase I've made this year,5.0,2026-07-26
297,Works exactly as described,5.0,2026-04-15
298,Best purchase I've made this year,5.0,2026-05-15
299,"Cheaply made, would not recommend",1.0,2026-03-11
300,,3.0,2026-04-26
301,Best purchase I've made this year,5.0,2026-07-21
302,  Average nothing special   ,3.0,2026-08-15
303,Very disappointed with this purchase,1.0,2026-06-28
304,Very disappointed with this purchase,1.0,2026-06-13
305,Very disappointed with this purchase,1.0,2026-05-13
306,Arrived damaged and customer service was unhelpful,1.0,2026-07-04
307,Works exactly as described,5.0,2026-06-24
308,"WORKS FINE, NOTHING TO WRITE HOME ABOUT",3.0,2026-08-15
309,Works exactly as described,5.0,2026-03-24
310,Middle of the road experience,3.0,2026-06-14
311,  Not bad but not great either   ,1.0,2026-08-02
312,"Five stars, no complaints at all",5.0,2026-05-07
313,Not worth the money,1.0,2026-07-27
314,"Waste of money, returning it",1.0,2026-06-13
315,Average nothing special,3.0,2026-07-05
